ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
581511_005,111.5,11,22,36.8552,-9,29,55.732,217,100,50,400,2018-04-18T15:32:41.181,2018,4,19,0,32,41.1808,0.53664,98.894046,90.1184,203.967143,34.167143,19.81453,88,168,232.427049,28.572075,200781.9776,233.349312,27.090724,191910.7374
581814_046,135,11,29,19.0444,-7,11,58.611,251,181,177,286,2018-04-18T15:36:23.331,2018,4,19,0,36,23.33104,0.234,110.722467,104.270291,55.026869,48.472552,43.041861,34,73,234.434766,31.884953,204342.2276,234.498876,29.252554,207266.6163
582111_084,139,11,28,36.0929,-9,33,57.01,121,151,38,212,2018-04-18T15:39:51.151,2018,4,19,0,39,51.15112,0.19032,103.885726,97.061022,112.413492,33.308231,42.224445,26,60,234.025367,29.821156,203144.1941,235.247938,27.82658,201672.8635
582211_049,73.5,11,36,8.4962,-9,26,48.604,307,61,154,450,2018-04-18T15:40:49.767,2018,4,19,0,40,49.76656,0.35568,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.4619,233.990607,27.024866,196580.47
582212_049,123,11,34,56.0921,-8,38,28.124,81,59,26,140,2018-04-18T15:40:49.767,2018,4,19,0,40,49.76656,0.35568,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.4619,233.990607,27.024866,196580.47
582232_050,73.5,11,26,43.2786,-8,44,13.637,181,140,60,340,2018-04-18T15:40:49.767,2018,4,19,0,40,49.76656,0.35568,97.103551,92.158609,165.976347,55.012109,24.321648,50,108,231.955558,27.882518,201407.4619,233.990607,27.024866,196580.47
582313_095,44.5,11,36,45.1906,-7,54,0.915,421,105,350,470,2018-04-18T15:42:15.595,2018,4,19,0,42,15.59464,0.36816,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.421,235.056653,28.866878,200010.0685
582321_030,59,11,32,30.2422,-9,24,54.497,446,39,408,478,2018-04-18T15:41:42.869,2018,4,19,0,41,42.86896,0.32136,92.972607,89.342559,171.709339,65.95549,29.021553,43,100,231.37098,27.311044,196487.9279,233.785645,26.965815,191055.7178
582325_095,45,11,31,11.4343,-6,29,2.865,192,247,164,215,2018-04-18T15:42:15.595,2018,4,19,0,42,15.59464,0.36816,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.421,235.056653,28.866878,200010.0685
582325_096,45,11,30,34.542,-6,19,39.572,76,129,16,120,2018-04-18T15:42:15.595,2018,4,19,0,42,15.59464,0.36816,101.063781,99.393605,169.732836,79.346252,24.354256,57,116,232.546023,28.713125,204238.421,235.056653,28.866878,200010.0685
